Region,Value,Year
APAC,72444.62,2010
APAC,113551.52,2011
APAC,99161.58,2012
APAC,103557.73,2013
APAC,177065.85,2014
APAC,173812.05,2015
APAC,175212.82,2016
APAC,103300.23,2017
APAC,100758.77,2018
APAC,109806.23,2019
APAC,109079.75,2020
APAC,120026.55,2021
APAC,37324.96,2022
Americas,255456.07,2010
Americas,206751.71,2011
Americas,240863.25,2012
Americas,265987.53,2013
Americas,297952.22000000003,2014
Americas,448092.72000000003,2015
Americas,287432.71,2016
Americas,330107.97000000003,2017
Americas,359928.0,2018
Americas,409046.82,2019
Americas,391529.63,2020
Americas,956168.85,2021
Americas,202038.0,2022
EMEA,153752.74,2010
EMEA,134725.7,2011
EMEA,134983.02,2012
EMEA,151045.03,2013
EMEA,173926.25,2014
EMEA,169608.03,2015
EMEA,171237.4,2016
EMEA,239004.73,2017
EMEA,218248.43,2018
EMEA,169977.85,2019
EMEA,255963.98,2020
EMEA,167927.81,2021
EMEA,4585196.359999999,2022
Index,"MultiIndex([(    'APAC', 2010),
            (    'APAC', 2011),
            (    'APAC', 2012),
            (    'APAC', 2013),
            (    'APAC', 2014),
            (    'APAC', 2015),
            (    'APAC', 2016),
            (    'APAC', 2017),
            (    'APAC', 2018),
            (    'APAC', 2019),
            (    'APAC', 2020),
            (    'APAC', 2021),
            (    'APAC', 2022),
            ('Americas', 2010),
            ('Americas', 2011),
            ('Americas', 2012),
            ('Americas', 2013),
            ('Americas', 2014),
            ('Americas', 2015),
            ('Americas', 2016),
            ('Americas', 2017),
            ('Americas', 2018),
            ('Americas', 2019),
            ('Americas', 2020),
            ('Americas', 2021),
            ('Americas', 2022),
            (    'EMEA', 2010),
            (    'EMEA', 2011),
            (    'EMEA', 2012),
            (    'EMEA', 2013),
            (    'EMEA', 2014),
            (    'EMEA', 2015),
            (    'EMEA', 2016),
            (    'EMEA', 2017),
            (    'EMEA', 2018),
            (    'EMEA', 2019),
            (    'EMEA', 2020),
            (    'EMEA', 2021),
            (    'EMEA', 2022)],
           names=['Region', 'Year'])",
