Sector,Region,year,Value £M
Financials,Americas,1979,6.5
Financials,EMEA,1979,6.5
Financials,APAC,1980,314.0
Financials,Americas,1980,427.4
"Technology, Media & Telecommunications",Americas,1980,195.43
Financials,Americas,1982,141.0
"Technology, Media & Telecommunications",Americas,1982,20.5
Financials,Americas,1983,1355.49
"Technology, Media & Telecommunications",Americas,1983,18.0
Financials,Americas,1984,1035.3600000000001
"Technology, Media & Telecommunications",Americas,1984,30.990000000000002
Financials,EMEA,1984,29.14
Financials,Americas,1985,2674.17
Financials,Americas,1986,6899.9400000000005
"Technology, Media & Telecommunications",Americas,1986,28.05
"Technology, Media & Telecommunications",EMEA,1986,28.05
Financials,APAC,1987,755.7
Financials,Americas,1987,10116.09
Healthcare,Americas,1987,59.0
"Technology, Media & Telecommunications",Americas,1987,95.47
Financials,EMEA,1987,56.36
"Technology, Media & Telecommunications",EMEA,1987,37.03
Financials,APAC,1988,0.36
Financials,Americas,1988,6423.0
"Technology, Media & Telecommunications",Americas,1988,304.76
Financials,EMEA,1988,1459.44
Financials,APAC,1989,1778.63
Financials,Americas,1989,14232.84
"Technology, Media & Telecommunications",Americas,1989,3.8
Financials,EMEA,1989,3802.26
"Technology, Media & Telecommunications",EMEA,1989,3.8
Financials,Americas,1990,31067.66
"Technology, Media & Telecommunications",Americas,1990,950.6599999999999
Financials,EMEA,1990,1577.05
Financials,APAC,1991,421.63
Financials,Americas,1991,30703.82
"Technology, Media & Telecommunications",Americas,1991,1126.45
Financials,EMEA,1991,3175.0
"Technology, Media & Telecommunications",EMEA,1991,25.4
Financials,APAC,1992,823.89
Financials,Americas,1992,21643.02
"Technology, Media & Telecommunications",Americas,1992,740.68
Financials,EMEA,1992,11867.79
"Technology, Media & Telecommunications",EMEA,1992,15.0
Financials,APAC,1993,37.72
Financials,Americas,1993,36393.98
"Technology, Media & Telecommunications",Americas,1993,623.88
Financials,EMEA,1993,7660.56
"Technology, Media & Telecommunications",EMEA,1993,91.5
Financials,APAC,1994,35.25
Financials,Americas,1994,29586.16
Healthcare,Americas,1994,10.05
"Technology, Media & Telecommunications",Americas,1994,1730.42
Financials,EMEA,1994,555.46
"Technology, Media & Telecommunications",EMEA,1994,941.34
Financials,APAC,1995,1950.68
Financials,Americas,1995,79900.8
Healthcare,Americas,1995,130.99
"Technology, Media & Telecommunications",Americas,1995,13054.37
Financials,EMEA,1995,9725.12
Healthcare,EMEA,1995,15.0
"Technology, Media & Telecommunications",EMEA,1995,86.37
Financials,APAC,1996,1290.65
Financials,Americas,1996,105226.92
Healthcare,Americas,1996,95.1
"Technology, Media & Telecommunications",Americas,1996,11568.43
Financials,EMEA,1996,28590.47
Healthcare,EMEA,1996,64.6
"Technology, Media & Telecommunications",EMEA,1996,211.76
Financials,APAC,1997,2971.3199999999997
"Technology, Media & Telecommunications",APAC,1997,17.509999999999998
Financials,Americas,1997,208637.83
Healthcare,Americas,1997,771.85
"Technology, Media & Telecommunications",Americas,1997,8580.83
Financials,EMEA,1997,29934.58
Healthcare,EMEA,1997,142.82
"Technology, Media & Telecommunications",EMEA,1997,1129.06
Financials,APAC,1998,9224.97
"Technology, Media & Telecommunications",APAC,1998,48.97
Financials,Americas,1998,526578.79
Healthcare,Americas,1998,15101.260000000002
"Technology, Media & Telecommunications",Americas,1998,17751.73
Financials,EMEA,1998,85435.96
Healthcare,EMEA,1998,10.81
"Technology, Media & Telecommunications",EMEA,1998,4928.02
Financials,APAC,1999,18849.21
"Technology, Media & Telecommunications",APAC,1999,289.18
Financials,Americas,1999,180484.19
Healthcare,Americas,1999,8955.16
"Technology, Media & Telecommunications",Americas,1999,53630.43
Financials,EMEA,1999,146570.73
Healthcare,EMEA,1999,70.12
"Technology, Media & Telecommunications",EMEA,1999,9688.77
Financials,APAC,2000,9387.16
Healthcare,APAC,2000,1.65
"Technology, Media & Telecommunications",APAC,2000,1134.74
Financials,Americas,2000,275258.6
Healthcare,Americas,2000,10476.08
"Technology, Media & Telecommunications",Americas,2000,91512.62
Financials,EMEA,2000,141273.63999999998
Healthcare,EMEA,2000,1186.0
"Technology, Media & Telecommunications",EMEA,2000,17039.14
Financials,APAC,2001,35073.52
Healthcare,APAC,2001,1.0899999999999999
"Technology, Media & Telecommunications",APAC,2001,380.15999999999997
Financials,Americas,2001,161127.61
Healthcare,Americas,2001,695.5699999999999
"Technology, Media & Telecommunications",Americas,2001,20338.57
Financials,EMEA,2001,160349.86000000002
Healthcare,EMEA,2001,98.61
"Technology, Media & Telecommunications",EMEA,2001,6627.54
Financials,APAC,2002,12407.05
Healthcare,APAC,2002,6.170000000000001
"Technology, Media & Telecommunications",APAC,2002,201.41
Financials,Americas,2002,95351.02
Healthcare,Americas,2002,493.95
"Technology, Media & Telecommunications",Americas,2002,13735.36
Financials,EMEA,2002,113963.14
Healthcare,EMEA,2002,61.86
"Technology, Media & Telecommunications",EMEA,2002,3345.25
Financials,APAC,2003,17585.53
Healthcare,APAC,2003,10.94
"Technology, Media & Telecommunications",APAC,2003,956.11
Financials,Americas,2003,247020.86000000002
Healthcare,Americas,2003,10744.79
"Technology, Media & Telecommunications",Americas,2003,34606.33
Financials,EMEA,2003,71021.36
Healthcare,EMEA,2003,10154.77
"Technology, Media & Telecommunications",EMEA,2003,4893.02
Financials,APAC,2004,57582.44
Healthcare,APAC,2004,79.98
"Technology, Media & Telecommunications",APAC,2004,2945.69
Financials,Americas,2004,271360.2
Healthcare,Americas,2004,1622.86
"Technology, Media & Telecommunications",Americas,2004,70672.5
Financials,EMEA,2004,130610.51000000001
Healthcare,EMEA,2004,588.18
"Technology, Media & Telecommunications",EMEA,2004,7086.4400000000005
Financials,APAC,2005,43584.4
Healthcare,APAC,2005,48.83
"Technology, Media & Telecommunications",APAC,2005,3410.23
Financials,Americas,2005,287066.75
Healthcare,Americas,2005,4360.86
"Technology, Media & Telecommunications",Americas,2005,51931.409999999996
Financials,EMEA,2005,152632.65
Healthcare,EMEA,2005,2408.05
"Technology, Media & Telecommunications",EMEA,2005,15233.34
