"Total Transaction Value
($M)","M&A Completion Date
(dd/mm/yyyy)"
2.75,02/11/2017
0.58,28/12/2017
3.00,10/05/2019
0.94,30/12/2016
4.28,11/12/2017
0.71,30/12/2019
0.41,30/06/2017
15.40,30/06/2017
705.90,28/06/2021
91.83,11/05/2015
1.79,02/06/2022
0.73,04/12/2015
16.63,31/07/2018
40.91,25/12/2020
0.11,10/02/2016
1.50,31/12/2015
2.10,07/04/2015
6.00,24/08/2015
96.34,11/10/2016
50.00,30/11/2022
3.15,14/02/2016
26.98,21/12/2018
2.30,14/07/2015
119.88,27/07/2015
19.00,31/01/2022
0.01,07/11/2017
65.64,31/08/2018
1.76,31/12/2016
4.64,31/07/2015
1.95,31/07/2015
0.02,29/10/2018
5.10,08/02/2018
28.46,10/02/2017
15.23,01/12/2015
3.00,17/09/2015
16.60,22/08/2016
34.30,11/01/2016
1.00,12/09/2017
2.23,10/01/2020
0.01,08/11/2021
40.26,03/11/2022
176.80,01/10/2020
34.50,18/02/2022
2.08,13/04/2017
2.98,25/10/2019
30.00,01/09/2017
81.26,22/05/2017
0.68,28/03/2018
5.64,27/01/2015
4.10,29/10/2022
5.60,25/02/2017
7.20,04/02/2016
29.50,30/06/2022
15.00,26/03/2015
355.32,18/09/2015
205.00,15/03/2017
157.53,03/01/2019
95.18,04/07/2017
9.16,01/06/2015
470.06,14/06/2016
54.25,24/10/2016
2.00,11/08/2017
5.51,31/12/2015
NA,15/12/2016
266.49,13/10/2017
4.54,05/11/2015
15.00,01/04/2015
104.00,01/12/2017
50.00,31/08/2018
51.90,23/09/2016
7.94,14/09/2017
40.94,09/10/2017
1.24,03/02/2017
973.00,08/04/2019
5.44,25/10/2016
55.12,28/12/2018
"10,936.70",11/06/2015
26.55,03/07/2018
65.91,26/09/2018
582.63,21/12/2018
148.07,18/09/2017
76.93,30/10/2015
52.18,08/02/2017
51.97,21/06/2016
35.57,22/06/2016
6.36,05/09/2019
181.00,30/09/2016
5.77,28/07/2016
76.87,24/11/2015
124.99,20/11/2015
60.41,30/12/2015
45.71,23/05/2016
