Country Name,Country Code,Poverty%,Crypto%,Year
Dominican Republic,DOM,21,15,2021
France,FRA,13.8,9,2021
Lithuania,LTU,20.9,14,2021
Malaysia,MYS,8.4,20,2021
Norway,NOR,12.7,15,2021
Poland,POL,14.8,11,2021
Portugal,PRT,16.2,15,2021
Serbia,SRB,21.7,13,2021
Switzerland,CHE,15.5,20,2021
Argentina,ARG,42,35,2020
Austria,AUT,14.7,14,2020
Belgium,BEL,13.1,15,2020
Chile,CHL,10.8,14,2020
Colombia,COL,42.5,16,2020
Czechia,CZE,8.6,13,2020
Denmark,DNK,12.3,12,2020
Finland,FIN,10.8,12,2020
Germany,DEU,15.8,12,2020
Greece,GRC,19.6,18,2020
Hungary,HUN,12.7,12,2020
Indonesia,IDN,9.8,19,2020
Ireland,IRL,12.9,15,2020
Italy,ITA,20.1,11,2020
Mexico,MEX,43.9,13,2020
Netherlands,NLD,14.4,20,2020
Nigeria,NGA,40.1,45,2020
Pakistan,PAK,21.9,19,2020
Peru,PER,30.1,14,2020
Philippines,PHL,16.7,29,2020
Romania,ROU,22.6,14,2020
Spain,ESP,21.7,16,2020
Sweden,SWE,15.7,11,2020
Thailand,THA,6.8,44,2020
Vietnam,VNM,6.7,27,2020
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
