Country Name,Country Code,Crypto%,Real GDP Per Capita,Real GDP (10^10)
Argentina,ARG,35,10729.23258,49.14927007
Austria,AUT,14,53267.93275,47.70824675
Belgium,BEL,15,51767.78857,59.98790254
Chile,CHL,14,16502.83857,31.70585087
Colombia,COL,16,6131.225922,31.43224532
Czechia,CZE,13,26378.49996,28.23408499
Denmark,DNK,12,67803.0471,39.71043435
Dominican Republic,DOM,15,8603.789905,9.424345394
Finland,FIN,12,53982.61427,29.91552376
France,FRA,9,43518.53851,293.7472758
Germany,DEU,12,50801.78671,422.3116206
Greece,GRC,18,20276.54467,21.62405895
Hungary,HUN,12,18772.67329,18.22805176
India,IND,25,2277.434347,317.3397591
Indonesia,IDN,19,4291.812554,118.6092991
Ireland,IRL,15,99152.10257,49.85595767
Italy,ITA,11,35551.28499,209.9880198
Kenya,KEN,19,2006.83224,11.03470795
Lithuania,LTU,14,23433.39091,6.55038497
Malaysia,MYS,20,11371.09902,37.27013588
Mexico,MEX,13,9926.422768,129.3037866
Morocco,MAR,12,3496.758301,13.27252615
Netherlands,NLD,20,58061.00167,101.8007057
Nigeria,NGA,45,2085.030765,44.07769715
Norway,NOR,15,89202.75054,48.24370198
Pakistan,PAK,19,1537.936411,34.63431705
Peru,PER,14,6692.248375,22.32494975
Philippines,PHL,29,3548.828323,39.40864193
Poland,POL,11,17840.92105,67.40482664
Portugal,PRT,15,24262.18094,24.98864644
Romania,ROU,14,14861.90917,28.40875637
Serbia,SRB,13,9214.993546,6.30681346
South Africa,ZAF,24,6994.211654,41.99464281
Spain,ESP,16,30115.70589,142.5276586
Sweden,SWE,11,60238.98656,62.74378989
Switzerland,CHE,20,93457.4404,81.28669289
Thailand,THA,44,7233.388858,50.59816556
United Kingdom,GBR,11,47334.35531,318.6859739
Vietnam,VNM,27,3694.019046,36.26375241
